id	text	label
0	with pale blue berries. in these peaceful shades--	1
1	it flows so long as falls the rain,	0
2	and that is why, the lonesome day,	-1
3	when i peruse the conquered fame of heroes, and the victories of mighty generals, i do not envy the generals,	2
4	of inward strife for truth and liberty.	2
5	the red sword sealed their vows!	2
6	and very venus of a pipe.	0
7	who the man, who, called a brother.	0
8	and so on. then a worthless gaud or two,	-1
9	to hide the orb of truth--and every throne	0
10	the call's more urgent when he journeys slow.	0
11	with the _quart d'heure_ of rabelais!	0
12	and match, and bend, and thorough-blend, in her colossal form and face.	0
13	have i played in different countries.	0
14	tells us that the day is ended."	0
15	and not alone by gold;	0
16	that has a charmingly bourbon air.	1
17	sounded o'er earth and sea its blast of war,	-1
18	chief poet on the tiber-side	0
19	as under a sunbeam a cloud ascends,	0
20	brightly expressive as the twins of leda,	1
21	of night, and all things now retir'd to rest	0
22	in latmian fountains long ago.	0
23	in monumental pomp! no grecian drop	1
24	and when they reached the house,	0
25	then this old orchard, sloping to the west;	0
26	so prythee get thee gone.	0
27	the other dark-eyed dears	0
28	me honied paths forsake;	0
29	to that mysterious strand.	0
30	wid a song up on de way.	0
31	her visions and those we have seen,--	0
32	he sat beside the governor and said grace;	0
33	fifty times the brahmins' offer deluged all the floor.	0
34	and what are all the prizes won	0
35	made snow of all the blossoms; at my feet	0
36	he never told us what he was,	0
37	want and woe, which torture us,	-1
38	a ruby, and a pearl, or so,	0
39	an echo returned on the cold gray morn,	-1
40	he says he’s hungry,—he would rather have	0
41	while i, ... i built up follies like a wall	-1
42	and then he shut his little eyes,	0
43	ah, what a pang of aching sharp surprise	-1
44	and gladys said,	0
45	peep timidly from out its nest,	0
46	the oriole's fledglings fifty times	0
47	the hostile cohorts melt away;	2
48	and the old swallow-haunted barns,--	-1
49	from god's design, with threads of rain!	0
50	how over, though, for even me who knew	0
51	warped into adamantine fretwork, hung	0
52	wilt thou forget the love that joined us here?	0
53	the which she bearing home it burned her nest,	-1
54	have roughened in the gales!	0
55	pilgrim and soldier, saint and sage,	0
56	down in the west upon the ocean floor	0
57	"what did you hear, for instance?" willis said.	0
58	should favour equal to the sons of heaven:	0
59	some, not so large, in rings,--	0
60	the crown of sorrow on their heads, their loss	-1
61	the eternal law,	0
62	and lips where heavenly smiles would hang and blend	1
63	we're a band!" said the weary big dragoon.	0
64	fu' to ba' de battle's brunt.	0
65	and brief related whom they brought, wher found,	0
66	i lay and watched the lonely gloom;	-1
67	honour to the bugle-horn!	1
68	a sceptre,--monstrous, winged, intolerable.	-1
69	max laid his hand upon the old man's arm,	0
70	when on the boughs the purple buds expand,	0
71	if the pure and holy angels	1
72	endymion would have passed across the mead	0
73	upon the thought of perfect noon. and when	1
74	thy hands all cunning arts that women prize.	1
75	reasoning to admiration, and with mee	1
76	while the rude winds blow off each shadowy crown.	-1
77	the former, as the slacken’d reins he drew	0
78	she falls back from the freedom she had hoped."	0
79	then--i would gather it, to thee unaware,	0
80	amidst the gold and the purple, and the pillows of his bed:	0
81	all hastening onward, yet none seemed to know	0
82	the wheat-blade whispers of the sheaf.	0
83	but o, nevermore can we prison him tight.	-1
84	under these leafy vaults and walls,	0
85	(distinctly here the spirit sneezed,)	0
86	it shines superior on a throne of gold:	1
87	around it cling.	0
88	may meditate a whole youth's loss,	-1
89	i'm safe enlisted fer the war,	0
90	whom phoebus taught unerring prophecy,	0
91	when thee, the eyes of that harsh long ago	-1
92	flutter,	0
93	a way that safely will my passage guide.”	0
94	and breaths were gathering sure	0
95	you have done this, says one judge; done that, says another;	0
96	in their archetypes endure.	0
97	returne, the starres of morn shall see him rise	0
98	brown-gabled, long, and full of seams	0
99	the foes inclosing, and his friend pursued,	-1
100	the tribute of this verse.	0
101	take the warm welcome of new friends with thee,	1
102	augmented, sweet, a hundred fold	1
103	in some lady's gyahden.	0
104	and bow to dread inquisitor and worship lords of dust;	-1
105	its temples and its palaces did seem	0
106	but i, or any demmercrat, feels comf'table to stan' on,	0
107	miles off, three dangerous miles, is home;	-1
108	every day a rich reward will give;	1
109	else, suffer’d, it will set the heart on fire,	-1
110	who, never looking forward, are indeed	0
111	gay little heart!	1
112	while from his hand i squeeze the golden prize,	0
113	among the sources of thy glorious streams,	1
114	as when i read in god's own holy book.	0
115	and while before me, spotted with white sails,	0
116	yet that whip's name too noble	0
117	i'm comin', ed.	0
118	what gods, what madness, hither steer’d your course?	-1
119	and raised their eyes above,	0
120	it spoils me for the smiling of the rest’—	1
121	yearns to its source. the spirit thirsts for god,	0
122	that wisdom's lips seemed borrowing friendship's heart.	1
123	the oil upon the puddles dries	0
124	snows hide his shoulders; from beneath his chin	0
125	when the glance hast lost its beam;	-1
126	best gems of nature's cabinet,	1
127	as round some giant hive, all day and night,	0
128	whether they met on festal eve, in field,	0
129	who cometh over the hills,	0
130	in the shadow of the shores; as dead leaves wake,	-1
131	touch it: the marble eyelids are not wet--	0
132	oh, say, is he, the eternal, there?	0
133	the blessed memory of thy worth	1
134	from his own tripod, and his holy tree;	0
135	i sate down beneath the beech	0
136	a million torches lighted by thy hand	1
137	thy sleep makes ridiculous.	-1
138	whose potent unity and concentric force	1
139	of peace? it is thy father's name. thy life	0
140	now, if thou art a poet, tell me not	0
141	who stood in expectation by,	0
142	mine eyes were of their madness half beguiled,	-1
143	jes heavy 'nough to turn a scale thet's doubtfle the wrong way,	0
144	you sha' n't roll yo' eyes at me.	-1
145	case dey nevah tech a drouf.	0
146	it will be spring again.	0
147	mine are calm and tranquil days,	1
148	sang as little children sing;	0
149	the things it wrought on; i believe	0
150	from flight, seditious angel, to receave	-1
151	what once has been and ne'er shall be again,	0
152	sky, marsh, my soul, and yonder sail.	0
153	thy merited reward, the first assay	1
154	except in france; and when it’s found in france,	0
155	for the greek must ask elsewhere.	0
156	whose anvil's even din	0
157	that truthful teacup, our dictator, knows;	0
158	when hills are free from snow	0
159	uttering bare truth, even so as foes commend.	1
160	endu'd with human voice and human sense,	0
161	whatever anybody had	0
162	is passed, and our aereal speed suspended.	0
163	afar the melancholy thunder moaned,	-1
164	their hate, and selfishness, and pride!	-1
165	i would don my hose of homespun gray,	0
166	an hundred silken cords are set	0
167	i have lost the urban ways.	0
168	and sorrowful to-day, thy children set	-1
169	or by some cabin door, a bush	0
170	was freedom's home or glory's grave!	2
171	save for a cry that echoes shrill	-1
172	with its close-curling gold, and love revived.	1
173	a golden helm his front and head surrounds	0
174	but, through the war-cloud, pray to thee	2
175	swing, like a ship at anchor, roun' my base,	0
176	for peace or rest too well he saw	0
177	from her stately place on high.	1
178	that passed with you and me.--	0
179	sweet hope!	1
180	for high, and yet more high, the murmurs swell	0
181	let those whom nature hath not made for store,	0
182	said, `pass not, so cold, these manifold	0
183	the adulterate death of lucrece and her groom.	-1
184	whilst this....	0
185	"the snow that husheth all,	0
186	then pausing, thus his prophecy renews	0
187	to accomplish suicide.	-1
188	early or late? or shall that commonwealth	0
189	he plays a little, sings a song,	0
190	each by his fiery torture howl and rave,	-1
191	and twitter, and again are still.	0
192	my daily thoughts perpetual converse held	0
193	yon trunk had thrice a hundred rings,	0
194	is lovely round; a beautiful river there	1
195	take heed (dear heart) of this large privilege,	1
196	at once comes tumbling down the rocky wall;	-1
197	sat mournfully guarding their corpses there,	-1
198	low in supplication bending.	0
199	twas when you stole my maidenhead;	-1
200	"sorry?  of course you are, though you compress,	0
201	i would not live alway	0
202	the king ordains their entrance, and ascends	1
203	very sleepy with the silence.	0
204	which clanged along the mountain's marble brow--	0
205	it steam in winter like an ox's breath,	0
206	in prosperous days. like a dim, waning lamp	2
207	jarr'd his own golden region; and before	0
208	flood his black hearthstone till its flames expire,	-1
209	when high i heap it with the weed	0
210	the climax of those hopes and duties dear	1
211	wait his returning strength.	0
212	strove to raise itself in blessing,	1
213	nile shall pursue his changeless way:	0
214	i must be home by noon-time with the cart.'	0
215	both the unseen and the seen;	0
216	the poet comes the last!	0
217	with many sighs;	0
218	where, all the long and lone daylight,	0
219	full of the calm that cometh after sleep:	1
220	men said, into a smile which guile portended,	-1
221	still sigurd rides with the brethren, as oft in the other days,	0
222	was she not somewhat that he could not rule	0
223	gnossian his shafts, and lycian was his bow:	0
224	you didn't stop for fuss,--	0
225	deaf, and dumb, and blind, and cold,	-1
226	i'm here--so far--and starting on again.	0
227	a different man was brother timothy,	0
228	see! neptune’s altars minister their brands:	0
229	to match your wit against the maker's will,	0
230	absently fingering and touching it,	0
231	three hours the first november dawn	0
232	ran ever clearer speech than that did run	1
233	"i say it's someone passing."	0
234	the visual nerve is withered to the root,	-1
235	"what hope wouldst thou hope, o sigurd, ere we kiss, we twain, and depart?"	2
236	there is nothing to hope for, i am tired,	-1
237	i left the place with all my might, --	0
238	let dat cradle swing,	0
239	he has no calling and he owns no trade.	0
240	as they were loosened by that hermit old,	0
241	then rose they up around him,	0
242	but because she stept to her star right on through death	2
243	an' see a hundred hills like islan's	0
244	and i am still the same;	0
245	misnames as the dog rosey now.	0
246	have seen the danger which i dared not look	-1
247	and hoping chink, she talked of morts of luck:	0
248	the meadows mine, the mountains mine, --	0
249	since ferdinand and you begun	0
250	i'm always thinkin' long.	0
251	ho! philip, send, for charity, thy mexican pistoles,	0
252	on to their shining goals:--	1
253	glory might burst on us!	1
254	what's de use o' gittin' mopy,	0
255	yet by experience taught we know how good,	0
256	all foredoomed to melt away;	-1
257	as if she were a woman. we who have clipt	0
258	it would be different if more people came,	0
259	plucked from the death, wilt thou repay me thus?	2
260	a spirit of unresting flame,	1
261	the present is enough, for common souls,	0
262	hear its low inward singing,	0
263	be sure to read it rightly. so, i mused	0
264	and keep my senses straightened	0
265	three trojans tug at ev’ry lab’ring oar;	0
266	mind us of like repose, since god hath set	0
267	lift their blue woods in broken chain	0
268	in nothing is wanting;	0
269	but thrown in a heap with a crush and a clatter;	-1
270	and kissed him with a sister's kiss,	0
271	"thou of the god-lent crown,	0
272	like pageantry of mist on an autumnal stream.	0
273	and she said: "what dost thou, brynhild? what matter dost thou seek?"	0
274	or the bolder art essaying	0
275	thither, if but to prie, shall be perhaps	0
276	o'er sweet profounds where only love can see.	1
277	he smell de bacon cookin', an' he hyeah de fiah hum;	0
278	came in slow pomp;--the moving pomp might seem	0
279	with peace and soft rapture shall teach life to glow,	1
280	but thy tranquil waters teach	1
281	smoothing the clustered hair, and parting it	0
282	in all that clang and hewing out of men,	0
283	her scutcheon shows white with a blazon of red,--	0
284	looks, and is dumb with awe;	2
285	then oer the rushes flies again,	0
286	a thousand rubs had flattened down each little cherub's nose,	0
287	a fragrance from the cedars, thickly set	0
288	of bright and dark obscurity;	2
289	science and song, and all the arts that please;	1
290	you turn, o jeanne, on our mystery	0
291	a graciousness in giving that doth make	1
292	most beauteous isadore!	1
293	whose instinct was to listen and obey.	0
294	but homesick tears would fill the eyes	-1
295	already, land! thou hast declared:  'tis done.	1
296	with war unhop’d the latians to surprise?	0
297	the eyes beside had wrung them dry,	0
298	tis the chronicle of art.	0
299	that moved in the beginning o'er his face,	0
300	and glance securely round.	0
301	so that ye for them are made	0
302	of course throw monstrous shadows: those who think	-1
303	he who plays with old iagoo	0
304	“why won’t the farm next to it do for you?”	0
305	on which an army once did feast,	0
306	their country free and joyous--	1
307	o sun-hint that hath overspread	0
308	the mad briareus of disunion rise,	-1
309	like your nest,	0
310	leading downward to the river,	0
311	a tyrian colony; the people made	0
312	can storied urn or animated bust:	0
313	but she spake: "bid hither gunnar, lest the sun sink o'er the bent,	0
314	despised am i by those who call'd me friend	2
315	the days pass over me	0
316	knowing this, that never yet	0
317	no, i won't be seein' nobody in the mornin',	0
318	the crack as of her splitting. did she take	0
319	i see them torn by gallic guns,	-1
320	thou feel'st it burning, in and in,--and fear	-1
321	your paynim heroes faster ride	1
322	but all of them are bad enough	-1
323	_you_ took to follerin' where the prophets beckoned,	0
324	godminster? is it fancy's play?	0
325	so that my stern resolve was almost gone.	0
326	meekly in the eternal footsteps trod,	0
327	all along down "injin crik?"	0
328	look down the shining peaks of all my days	1
329	the wood giant	0
330	tinkle, tinkle, sweetly it sung to us,	1
331	has it become to thee a labyrinth never ending,	-1
332	on her changed world of ruin, waste and wrack,	-1
333	then along the river strand,	0
334	these are the tales, or new or old,	0
335	for her this rhyme is penned, whose luminous eyes,	1
336	like morning glory	1
337	the quavering thunder thereupon had ceas'd,	2
338	to men below,	0
339	they had not set there. who had set it there?	0
340	kneeling ne'er spoiled silk stockings; quit thy state;	-1
341	sometime, when all life's lessons have been learned,	0
342	shine knightly star and plume of snow?	1
343	he said; and while he spoke, with flying speed	0
344	from earth, with the waters of pain.	-1
345	sent by an hand unseen;	0
346	till after-poets only knew	0
347	to his aid the strong reverses	0
348	and leave the words unspoken i yet have will to speak."	0
349	the tablet telling where he "fell on sleep,"--	0
350	is writ in moods and frowns and wrinkles strange.	-1
351	so there on an eve is sigurd in the ancient niblung hall,	0
352	good ringers, pull your best," quoth he.	1
353	to gather weeds in the regardless stream.	0
354	and the lure of what is called heaven is little or nothing to me.	2
355	me up like that.  'essence de la valliere'--	0
356	but when i read of the brotherhood of lovers, how it was with them;	0
357	all these were round my steady paces.	0
358	fearless but weary to thy arms i creep;	2
359	those cobweb nerves he could not dull within.	-1
360	with dews of tropic morning wet,	0
361	here those that in the rapid course delight,	1
362	‘received that cheque.’ but you!... i send you funds	0
363	and never be forgot in mighty rome	1
364	fooled with your promises,	-1
365	thy mission to a world of woe.	-1
366	attend your brother to the stygian flood.”	0
367	less often man--the harder of the two.	0
368	shining and shouting each to each that place),	0
369	and call that brilliant flower the painted cup.	1
370	a privilege, i think,	0
371	our frowning foemen of the night	-1
372	of sainthood in purple the pattern and pick,	0
373	and bright in heaven's jewelled crown	1
374	when, dreadful to behold, from sea we spied	-1
375	halcyons of memory,	1
376	hale as the morn and happy as her song.	1
377	and catered for it as the cretan bees	0
378	some moment, nailed on sorrow's cross,	-1
379	and in the air, her new voice luting soft,	1
380	with sincerest conviction their chairs to the shore;	1
381	my prayer away i threw;	0
382	an old smoaked blanket arches oer his head,	0
383	the sundown's golden trail?	1
384	far, far away, o ye	0
385	our saxon tongue has known,--	0
386	“the nymph, who scatters flaming fires around,	-1
387	thus farr to try thee, adam, i was pleas'd,	1
388	swifter far than youth's delight--	1
389	all autumn pil'd, though spring and autumn here	0
390	for 'twas e'en as a great god's slaying, and they feared the wrath of the sky;	-1
391	but heaven in thy creation did decree,	0
392	and i've been like that silly girl.	-1
393	burns in thee, child?--what good can thee betide,	0
394	skins of otter, lynx, and ermine,	0
395	to make a body curse.	-1
396	no, no, you have dismiss'd me; and i go	0
397	and full of wonder, full of hope as he.	1
398	were murmuring on the stifling air	-1
399	how poor these pallid phrases seem,	-1
400	‘these monsters, set out in the open sun,	-1
401	before the saintly soul, whose human will	1
402	and on her ample square from side to side	0
403	and hold the hours as joshua stayed the sun,--	0
404	he scarce had ended, when those two approachd	0
405	blindness like that would scare the mole and bat,	-1
406	did from the altar steal a smouldering brand,	-1
407	"he whose lot hath been	0
408	our present, our past, our to be,	0
409	now rise and look upon me."  and she rose,	0
410	came sages urging on his foamy steed:	0
411	is beaten by the winds, with foggy vapours bound.	-1
412	and finde thee knowing not of beasts alone,	0
413	apple-blossoms pink, and low	0
414	pride of thy sex, miss harriet martineau!	1
415	we’ll say instead, the inconsequent creature, man,—	0
416	until the bitter summons fell--	-1
417	with level wings swinging	0
418	lift not your hands in the banded war,	0
419	would my heart and life flow onward, deathward, through this dream of	2
420	but de lawd is all aroun' you,	0
421	in slumber; for thine enemy never sleeps,	-1
422	to hold it fast.	0
423	tain't the words alone, but feelin's,	0
424	no angry bolt, but harmless flame.	2
425	the beauty and the joy of their renewed might.	1
426	oh, those days, so sweet, so happy,	1
427	if men are always at a loss	-1
428	they were wet, and glistened with raindrops, shed	0
429	and circling wonders fill the vast profound.	1
430	the love that lived through all the stormy past,	2
431	but it is not enough, ah! not enough	0
432	the pyramids have risen.	0
433	"play uppe, play uppe, o boston bells!	1
434	is plain, thou say'st: but wherefore god this way	0
435	to rise upon some other shore,	0
436	at dusk of eve,	0
437	and then, as is my wont, i told	0
438	with warning cough and threatening wheeze	-1
439	who had my mother's servant been,	0
440	daily struggling, though unloved and lonely,	-1
441	there's a certain slant of light,	0
442	honour to the old bow-string!	1
443	fall again.	0
444	love, on myriad lips fairer than yours, kisses you could not give! . . .	2
445	how heavy it seemed! as heavy as a stone;	-1
446	concerning him ye wot of, thus to think	0
447	thou too art victor, rochambeau!	1
448	when thou hadst overcome the sharpness of death, thou didst open the kingdom of heaven to all believers.	2
449	and wit, like ocean, rose and fell?--	2
450	how they had waited for him, to complete	0
