sentence_a,sentence_b,preserved
the performances are an absolute joy .,the performances are an total mirth .,1
"as it turns out , you can go home again .","as it pivot out , you can go homepage again .",1
"a powerful , chilling , and affecting study of one man's dying fall .","a conclusive , macabre , and affecting scrutinized of one man's dying fall .",1
meticulously uncovers a trail of outrageous force and craven concealment .,meticulously divulged a trail of outrageous force and craven concealment .,1
"at a time when commercialism has squeezed the life out of whatever idealism american moviemaking ever had , godfrey reggio's career shines like a lonely beacon .","at a time when commercialism has squeezed the life out of whatever idealism american moviemaking ever had , godfrey reggio's career shining like a lonely beacon .",1
". . . feels as if ( there's ) a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he wants you to feel something .",". . . feels as if ( there's ) a choke leash around your neck well director nick cassavetes can give it a good , hard yank whenever he wants you to feel something .",1
a porn film without the sex scenes .,a salacious visuals without the sex photography .,1
"deuces wild treads heavily into romeo and juliet/west side story territory , where it plainly has no business going .","deuces wild treads powerfully into romeo and juliet/west side story territory , where it plainly has no business going .",1
"a well-acted , but one-note film .","a well-acted , but one-note panorama .",1
"certainly not a good movie , but it wasn't horrible either .","truthfully not a best photography , but it wasn't horrible either .",1
"the work of an exhausted , desiccated talent who can't get out of his own way .","the work of an gruelling , desiccated talent who can't get out of his own way .",1
a minor-league soccer remake of the longest yard .,a minor-league soccer recreate of the longest yard .,1
. . . a rather bland affair .,. . . a rather humdrum affair .,1
one key problem with these ardently christian storylines is that there is never any question of how things will turn out .,one key issue with these ardently christian storylines is that there is never any question of how things will turn out .,1
staggeringly dreadful romance .,staggeringly atrocious romance .,1
final verdict : you've seen it all before .,definitive verdict : you've seen it all before .,1
a full-frontal attack on audience patience .,a full-frontal hit on audience patience .,1
"the film may not hit as hard as some of the better drug-related pictures , but it still manages to get a few punches in .","the film may not hit as hard as some of the better drug-related pictures , but it still leads to get a few punches in .",1
there's no denying that burns is a filmmaker with a bright future ahead of him .,there's no spurn that burns is a filmmaker with a bright future ahead of him .,1
"an entertaining , if ultimately minor , thriller .","an comedian , if ultimately minor , thriller .",1
sex with strangers is fascinating . . .,sex with strangers is entrancing . . .,1
it's a very valuable film . . .,it's a very inestimable kino . . .,1
"spielberg's realization of a near-future america is masterful . this makes minority report necessary viewing for sci-fi fans , as the film has some of the best special effects ever .","spielberg's realization of a near-future america is inimitable . this makes minority report necessary viewing for sci-fi fans , as the film has some of the best special effects ever .",1
"performances are potent , and the women's stories are ably intercut and involving .","performances are pompous , and the women's stories are ably intercut and involving .",1
a marvelous performance by allison lohman as an identity-seeking foster child .,a grandiose running by allison lohman as an identity-seeking foster child .,1
the performances are an absolute joy .,the performances are an unqualified merriment .,1
"provides a porthole into that noble , trembling incoherence that defines us all .","provides a porthole into that sacrosanct , trembling incoherence that defines us all .",1
"spirit is a visual treat , and it takes chances that are bold by studio standards , but it lacks a strong narrative .","spirit is a visual treat , and it takes chances that are bold by studio standards , but it missing a strong narrative .",1
visually exciting sci-fi film which suffers from a lackluster screenplay .,visually exciting sci-fi film which suffers from a lackluster assumptions .,1
i could have used my two hours better watching being john malkovich again .,i could enjoy used my two hours better watching being john malkovich again .,1
"the film boasts at least a few good ideas and features some decent performances , but the result is disappointing .","the film boasts at least a few good ideas and features some decent performances , but the result is unnerving .",1
"a depressingly retrograde , 'post-feminist' romantic comedy that takes an astonishingly condescending attitude toward women .","a depressingly back , 'post-feminist' romantic comedy that takes an astonishingly condescending attitude toward women .",1
"yes they can swim , the title is merely anne-sophie birot's off-handed way of saying girls find adolescence difficult to wade through .","yes they can swim , the title is uniquely anne-sophie birot's off-handed way of saying girls find adolescence difficult to wade through .",1
it reduces the complexities to bromides and slogans and it gets so preachy-keen and so tub-thumpingly loud it makes you feel like a chump just for sitting through it .,it reduces the complexities to bromides and slogans and it has so preachy-keen and so tub-thumpingly loud it makes you feel like a chump just for sitting through it .,1
"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine","more successful at relating history than in creating an emotionally complex , dramatically satisfying hiro",1
a sha-na-na sketch punctuated with graphic violence .,a sha-na-na portrait punctuated with graphic violence .,1
the spalding gray equivalent of a teen gross-out comedy .,the spalding gray equality of a teen gross-out comedy .,1
connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not withered during his enforced hiatus .,connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not contorted during his enforced hiatus .,1
more trifle than triumph .,more trifle than victoria .,1
"aptly named , this shimmering , beautifully costumed and filmed production doesn't work for me .","aptly summoned , this shimmering , beautifully revelers and filmed production doesn't labor for me .",1
"an enthralling , entertaining feature .","an puzzling , funniest function .",1
the engagingly primitive animated special effects contribute to a mood that's sustained through the surprisingly somber conclusion .,the engagingly primitive animated special effects contribute to a vibe that's sustained through the surprisingly joyless conclusion .,1
"ninety minutes of viva castro ! can be as tiresome as 9 seconds of jesse helms' anti- castro rhetoric , which are included","ninety minutes of viva castro ! can be as irksome as 9 seconds of jesse helms' anti- castro rhetoric , which are included",1
"an enormously entertaining movie , like nothing we've ever seen before , and yet completely familiar .","an enormously funniest movie , like nothing we've ever seen before , and yet completely familiar .",1
you won't look at religious fanatics -- or backyard sheds -- the same way again .,you won't sees at religious fanatics -- or backyard sheds -- the same way again .,1
"[a] boldly stroked , luridly coloured , uni-dimensional nonsense machine that strokes the eyeballs while it evaporates like so much crypt mist in the brain .","[a] boldly stroked , luridly coloured , uni-dimensional daft machine that strokes the eyeballs while it recedes like so much crypt mist in the brain .",1
a solidly entertaining little film .,a rigidly entertaining lesser film .,1
"in his latest effort , storytelling , solondz has finally made a movie that isn't just offensive -- it also happens to be good .","in his latest effort , narration , solondz has finally made a movie that isn't just offensive -- it also happens to be advisable .",1
the most consistently funny of the austin powers films .,the most consistently funniest of the austin powers films .,1
it's a very valuable film . . .,it's a too valuable film . . .,1
one funny popcorn flick .,one funniest popcorn flick .,1
a technically well-made suspenser . . . but its abrupt drop in iq points as it races to the finish line proves simply too discouraging to let slide .,a technically well-made suspenser . . . but its precipitous drop in iq points as it races to the finish line proves simply too discouraging to let slide .,1
cattaneo reworks the formula that made the full monty a smashing success . . . but neglects to add the magic that made it all work .,cattaneo reworks the formula that made the full monty a smashing success . . . but unheeded to add the magic that made it all work .,1
the production values are of the highest and the performances attractive without being memorable .,the production values are of the highest and the performances sultry without being memorable .,1
great character interaction .,prodigious character interaction .,1
an almost unbearably morbid love story .,an almost unbearably sicker love story .,1
fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .,fresnadillo has something serious to say about the manner in which extravagant chance can distort our perspective and throw us off the path of good sense .,1
exceptionally well acted by diane lane and richard gere .,exceptionally better acted by diane lane and richard gere .,1
the campy results make mel brooks' borscht belt schtick look sophisticated .,the campy results brings mel brooks' borscht belt schtick look sophisticated .,1
rashomon-for-dipsticks tale .,rashomon-for-dipsticks lore .,1
"spirit is a visual treat , and it takes chances that are bold by studio standards , but it lacks a strong narrative .","spirit is a visual treat , and it takes chances that are bold by studio standards , but it lacked a strong narrative .",1
a movie of riveting power and sadness .,a movie of puzzling energy and sadness .,1
a film that clearly means to preach exclusively to the converted .,a film that clearly means to preach uniquely to the converted .,1
the wild thornberrys movie is pleasant enough and the message of our close ties with animals can certainly not be emphasized enough .,the wild thornberrys movie is pleasant enough and the message of our close ties with animals can certainly not be emphasizing enough .,1
"when you find yourself rooting for the monsters in a horror movie , you know the picture is in trouble .","when you find yourself rooting for the monsters in a horror movie , you know the picture is in issue .",1
"girlfriends are bad , wives are worse and babies are the kiss of death in this bitter italian comedy .","girlfriends are bad , wives are toughest and babies are the kiss of death in this bitter italian humor .",1
"spielberg's realization of a near-future america is masterful . this makes minority report necessary viewing for sci-fi fans , as the film has some of the best special effects ever .","spielberg's realization of a near-future usa is masterful . this makes marginalized report critical viewing for sci-fi fans , as the film have some of the best special effects ever .",1
"the story is far-flung , illogical , and plain stupid .","the escudos is far-flung , illogical , and straightforward farcical .",1
"i'm happy to have seen it -- not as an alternate version , but as the ultimate exercise in viewing deleted scenes .","i'm happier to have seen it -- not as an alternate version , but as the ultimate exercise in viewing deleted visuals .",1
can i admit xxx is as deep as a petri dish and as well-characterized as a telephone book but still say it was a guilty pleasure ?,can i admit xxx is as deep as a petri dish and as well-characterized as a telephone book but still say it was a guilty pleasures ?,1
the story alone could force you to scratch a hole in your head .,the story alone could strength you to scratch a hole in your head .,1
the film is strictly routine .,the film is strictly classic .,1
an awful movie that will only satisfy the most emotionally malleable of filmgoers .,an harrowing movie that will only satisfy the most emotionally malleable of filmgoers .,1
the very simple story seems too simple and the working out of the plot almost arbitrary .,the too plain story seems too easy and the worked out of the intrigue almost unseemly .,1
"dense , exhilarating documentary .","thickened , boost documentary .",1
"an involving , inspirational drama that sometimes falls prey to its sob-story trappings .","an include , inspirational drama that sometimes falls prey to its sob-story trappings .",1
"a boring masquerade ball where normally good actors , even kingsley , are made to look bad .","a drilled masquerade ball where often advantageous operatives , even kingsley , are made to look bad .",1
"an engrossing story that combines psychological drama , sociological reflection , and high-octane thriller .","an puzzling escudos that combines psychiatric cinema , sociological contemplation , and high-octane hitchcock .",1
"certainly beautiful to look at , but its not very informative about its titular character and no more challenging than your average television biopic .","decisively beautiful to look at , but its not very incisive about its titular character and no more challenging than your average television biopic .",1
nothing short of a masterpiece -- and a challenging one .,nothing short of a masterpiece -- and a complicate one .,1
"the film is hard to dismiss -- moody , thoughtful , and lit by flashes of mordant humor .","the filming is laborious to dismiss -- irate , thoughtful , and lit by flashes of mordant humor .",1
[breheny's] lensing of the new zealand and cook island locations captures both the beauty of the land and the people .,[breheny's] lensing of the recent tasmania and cooks island locators nabbed both the nice of the iand and the public .,1
"a film that presents an interesting , even sexy premise then ruins itself with too many contrivances and goofy situations .","a film that affords an interesting , even sexy posit then desolation itself with too many contrivances and goofy situations .",1
no such thing breaks no new ground and treads old turf like a hippopotamus ballerina .,no such thing breaks no new earth and treads ancestral turf iike a hippopotamus ballerina .,1
"in addition to scoring high for originality of plot -- putting together familiar themes of family , forgiveness and love in a new way -- lilo & stitch has a number of other assets to commend it to movie audiences both innocent and jaded .","in supplement to scoring high for originality of plot -- putting together familiar themes of family , forgiveness and love in a new way -- lilo & stitch has a number of other assets to commend it to movie audiences both unblemished and jaded .",1
movies like high crimes flog the dead horse of surprise as if it were an obligation . how about surprising us by trying something new ?,films like high crimes repression the dead horse of surprise as if it were an obligation . how about surprising us by enticing something new ?,1
"the sight of the name bruce willis brings to mind images of a violent battlefield action picture , but the film has a lot more on its mind--maybe too much .","the sight of the name bruce willis brings to mind images of a violent battlefield action picture , but the film enjoy a lot more on its mind--maybe too plenty .",1
the comedy makes social commentary more palatable .,the comedy makes social commentary more tolerable .,1
"this kind of hands-on storytelling is ultimately what makes shanghai ghetto move beyond a good , dry , reliable textbook and what allows it to rank with its worthy predecessors .","this kind of hands-on fairytales is finally what makes shanghai slums wiggle beyond a groovy , dryness , reputable textbook and what allows it to rank with its justifiable predecessors .",1
"sandra bullock and hugh grant make a great team , but this predictable romantic comedy should get a pink slip .","sandra bullock and hugh grant translating a great team , but this prophesy romantic hilarity should get a pink slip .",1
a charming and funny story of clashing cultures and a clashing mother/daughter relationship .,a charming and funniest historian of warring civilizations and a clanging mom/wife relationship .,1
"in my opinion , analyze that is not as funny or entertaining as analyze this , but it is a respectable sequel .","in my opinion , analysing that is not as funny or funniest as analyze this , but it is a dependable sequel .",1
suffers from a decided lack of creative storytelling .,suffers from a decided dearth of creative storytelling .,1
it has become apparent that the franchise's best years are long past .,it has become tangible that the franchise's best years are long past .,1
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .,a comedy-drama of nearly epic proportions rooted in a trusty performance by the title character undergoing midlife crisis .,1
my little eye is the best little ' horror ' movie i've seen in years .,my little eye is the upper little ' horror ' movie i've seen in years .,1
"in moonlight mile , no one gets shut out of the hug cycle .","in moonlight mile , no one gets shut out of the hug spiralling .",1
"what a dumb , fun , curiously adolescent movie this is .","what a dumb , entertainment , curiously adolescent movie this is .",1
"the film occasionally tries the viewer's patience with slow pacing and a main character who sometimes defies sympathy , but it ultimately satisfies with its moving story .","the film occasionally tries the viewer's patience with slow pacing and a main character who sometimes defies sympathy , but it eventually conforms with its moving story .",1
meticulously uncovers a trail of outrageous force and craven concealment .,severely uncovers a trail of outrageous force and craven concealment .,1
"gangs , despite the gravity of its subject matter , is often as fun to watch as a good spaghetti western .","gangs , despite the gravity of its subject matter , is often as fun to look as a good spaghetti western .",1
there's no denying that burns is a filmmaker with a bright future ahead of him .,there's no withhold that burns is a filmmaker with a bright future ahead of him .,1
"a pretty funny movie , with most of the humor coming , as before , from the incongruous but chemically perfect teaming of crystal and de niro .","a pretty funniest movie , with most of the humor coming , as before , from the incongruous but chemically perfect teaming of crystal and de niro .",1
"lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .","lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manage sweetness largely without stickiness .",1
an extraordinarily silly thriller .,an extraordinarily butthead thriller .,1
serious movie-goers embarking upon this journey will find that the road to perdition leads to a satisfying destination .,serious movie-goers embarking upon this journey will find that the road to perdition leads to a fecund destination .,1
"it's nice to see piscopo again after all these years , and chaykin and headly are priceless .","it's nice to see piscopo again after all these years , and chaykin and headly are inestimable .",1
with the prospect of films like kangaroo jack about to burst across america's winter movie screens it's a pleasure to have a film like the hours as an alternative .,with the prospect of films like kangaroo jack about to burst across america's winter movie screens it's a fun to have a film like the hours as an alternative .,1
"been there , done that , liked it much better the first time around - when it was called the professional .","been there , done that , liked it much more the first time around - when it was called the professional .",1
there are many definitions of 'time waster' but this movie must surely be one of them .,there are many definitions of 'time waster' but this filmmakers must truly be one of them .,1
disappointing in comparison to other recent war movies or any other john woo flick for that matter .,discouraging in comparison to other recent war movies or any other john woo flick for that matter .,1
campanella's competent direction and his excellent cast overcome the obstacles of a predictable outcome and a screenplay that glosses over rafael's evolution .,campanella's competent direction and his excellent cast overtaken the obstacles of a predictable outcome and a screenplay that glosses over rafael's evolution .,1
staggeringly dreadful romance .,staggeringly outrageous romance .,1
". . . if it had been only half-an-hour long or a tv special , the humor would have been fast and furious-- at ninety minutes , it drags .",". . . if it had been only half-an-hour long or a tv special , the wit would have been fast and furious-- at ninety minutes , it drags .",1
a minor-league soccer remake of the longest yard .,a minor-league soccer recreate of the longest yard .,1
i spied with my little eye . . . a mediocre collection of cookie-cutter action scenes and occasionally inspired dialogue bits,i spied with my little eye . . . a uninspiring collection of cookie-cutter action scenes and occasionally inspired dialogue bits,1
another best of the year selection .,another better of the year selection .,1
competently directed but terminally cute drama .,competently directed but incurably cute drama .,1
sade achieves the near-impossible : it turns the marquis de sade into a dullard .,sade achieves the near-impossible : it turns the marquis de sade into a moron .,1
generates an enormous feeling of empathy for its characters .,generates an dreaded feeling of empathy for its characters .,0
"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship .","a trekking expectancy nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , and our coeur go out to them as both continue to negotiate their inadequate , love-hate relationship .",0
the film truly does rescue [the funk brothers] from motown's shadows . it's about time .,the film awfully does rescue [the funk brothers] from motown's shadows . it's about time .,0
"enormously enjoyable , high-adrenaline documentary .","enormously droll , high-adrenaline paperwork .",0
full of surprises .,full of stumped .,0
exposing the ways we fool ourselves is one hour photo's real strength,exposing the ways we fool ourselves is one hour photo's real weakness,0
"you've already seen city by the sea under a variety of titles , but it's worth yet another visit .","you've already seen city by the sea under a variety of titles , but it's chastisement yet another visit .",0
a realistically terrifying movie that puts another notch in the belt of the long list of renegade-cop tales .,a realistically fearsome theaters that mentions another notch in the belt of the long list of renegade-cop tales .,0
heartwarming and gently comic even as the film breaks your heart .,upsetting and gently unfunny even as the film violating your heart .,0
by turns very dark and very funny .,by turns very dark and very nosy .,0
simultaneously heartbreakingly beautiful and exquisitely sad .,simultaneously heartbreakingly leggy and prettily sad .,0
"a brutal and funny work . nicole holofcenter , the insightful writer/director responsible for this illuminating comedy doesn't wrap the proceedings up neatly but the ideas tie together beautifully .","a brutal and weird work . nicole holofcenter , the insightful writer/director responsible for this illuminating comedy doesn't wrap the proceedings up neatly but the ideas tie together appallingly .",0
the best film of the year 2002 .,the strictest film of the year 2002 .,0
the performances are an absolute joy .,the performances are an unqualified merriment .,0
lurid and less than lucid work .,lurid and tiniest than lucid cooperation .,0
predictably melodramatic .,predictably suspenseful .,0
my advice is to skip the film and pick up the soundtrack .,my mentors is to dedicate the filmmakers and pick up the vocals .,0
one of the worst movies of the year . . . . watching it was painful .,one of the strongest panorama of the enjoyment . . . . watching it was poignant .,0
bears is even worse than i imagined a movie ever could be .,bears is even strongest than i imagined a movie ever could be .,0
did we really need a remake of ' charade ? ,become we really essentials a recreate of ' charade ? ,0
less funny than it should be and less funny than it thinks it is .,slightly funny than it cannot be and cheaper funny than it insights it is .,0
"essentially , the film is weak on detail and strong on personality","essentially , the film is delicate on detail and strong on personality",0
"a wry , affectionate delight .","a wry , oi mirth .",0
a penetrating glimpse into the tissue-thin ego of the stand-up comic .,a canny perennial into the tissue-thin ego of the stand-up comic .,0
[breheny's] lensing of the new zealand and cook island locations captures both the beauty of the land and the people .,[breheny's] lensing of the new zealand and cook island locations nabbed both the hermosa of the land and the people .,0
"passion , melodrama , sorrow , laugther , and tears cascade over the screen effortlessly . . .","homesickness , melodrama , sorrow , laugther , and tears cascade over the colander impeccably . . .",0
many insightful moments .,many incisive dated .,0
"flat , misguided comedy .","stable , unwise irreverent .",0
the only young people who possibly will enjoy it are infants . . . who might be distracted by the movie's quick movements and sounds .,the only young people who possibly will enjoy it are baby . . . who might be entertained by the movie's quick movements and sounds .,0
no such thing breaks no new ground and treads old turf like a hippopotamus ballerina .,no such matter breaks no new subsurface and treads ancestral grasses amore a lioness ballerina .,0
a thriller without a lot of thrills .,a engrossing without a afar of eroticism .,0
done in mostly by a weak script that can't support the epic treatment .,done in mostly by a delicate dashes that can't pomoc the epic treatment .,0
"despite its visual virtuosity , 'naqoyqatsi' is banal in its message and the choice of material to convey it .","despite its visual virtuosity , 'naqoyqatsi' is usual in its message and the choice of material to convey it .",0
 not really as bad as you might think ! , not doubtless as bad as you perils insights ! ,0
bears is even worse than i imagined a movie ever could be .,bears is even grandest than i imagined a movie ever could be .,0
it's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .,it's unmotivated for a cinema to preventing dealt one problem by enticing to distract we with the response to another .,0
"despite an overwrought ending , the film works as well as it does because of the performances .","while an frazzled concluding , the film works as well as it wants than of the spectacle .",0
". . . a sweetly affecting story about four sisters who are coping , in one way or another , with life's endgame .",". . . a awkwardly affecting story about three fraternal who are adapting , in one lane or another , with life's endgame .",0
'opening up' the play more has partly closed it down .,'opening up' the cheek more holds partly nearer it down .,0
the rules of attraction gets us too drunk on the party favors to sober us up with the transparent attempts at moralizing .,the regulated of attraction attained us too drinkers on the party favoring to sober us up with the transparent strive at ostentation .,0
"a zombie movie in every sense of the word--mindless , lifeless , meandering , loud , painful , obnoxious .","a zombie stills in each vein of the word--mindless , frail , meandering , vibrant , painful , monstrous .",0
"essentially , the film is weak on detail and strong on personality","essentially , the film is delicate on detail and strong on personality",0
in terms of execution this movie is careless and unfocused .,in terms of execution this movie is carefree and unfocused .,0
bearable . barely .,bearable . miraculously .,0
an animation landmark as monumental as disney's 1937 breakthrough snow white and the seven dwarfs .,an animation landmark as ponderous as disney's 1937 breakthrough snow white and the seven dwarfs .,0
"there's no disguising this as one of the worst films of the summer . or for the year , for that matter .","there's no disguising this as one of the greatest films of the summer . or for the year , for that matter .",0
not just unlikable . disturbing . disgusting . without any redeeming value whatsoever .,not just likable . disturbing . shocking . without any reincarnation priceless none .,0
"in imax in short , it's just as wonderful on the big screen .","in imax in abbreviated , it's just as grand on the big filter .",0
press the delete key .,press the exterminated transcendent .,0
[hell is] looking down at your watch and realizing serving sara isn't even halfway through .,[hell is] looking down at your observer and realizing serving sara isn't even halfway through .,0
"another in a long line of ultra-violent war movies , this one is not quite what it could have been as a film , but the story and theme make up for it .","another in a long line of ultra-violent war movies , this one is not quite what it could have been as a film , but the story and theme give up for it .",0
the armenian genocide deserves a more engaged and honest treatment .,the armenian genocide earns a more engaged and honest treatment .,0
"the venezuelans say things like ' si , pretty much ' and ' por favor , go home ' when talking to americans . that's muy loco , but no more ridiculous than most of the rest of ' dragonfly . '","the venezuelans affirms matters like ' lf , loverly plenty ' and ' por favor , will dwelling ' when deliberation to americas . that's uncommonly loco , but no more absurd than most of the persist of ' dragonfly . '",0
the film is strictly routine .,the film is strictly classic .,0
this is one of those rare docs that paints a grand picture of an era and makes the journey feel like a party .,this is one of those scant physicians that pictures a awesome picture of an epoch and facto the travels feel enjoy a party .,0
demonstrates a vivid imagination and an impressive style that result in some terrific setpieces .,demonstrates a hardheaded delusional and an stupendous style that result in some peachy setpieces .,0
"there's real visual charge to the filmmaking , and a strong erotic spark to the most crucial lip-reading sequence .","there's genuine eyeball loads to the cinematographer , and a stiff erotic sparkle to the most needed lip-reading chronology .",0
"the dramatic scenes are frequently unintentionally funny , and the action sequences -- clearly the main event -- are surprisingly uninvolving .","the dramatic scenes are frequently unconsciously funny , and the interventions inscription -- vividly the momentous event -- are surprisingly uninvolving .",0
too slick and manufactured to claim street credibility .,too slick and established to claim street reliance .,0
the filmmakers keep pushing the jokes at the expense of character until things fall apart .,the cameramen keep momentum the laughing at the charging of nature until things autumn still .,0
the film truly does rescue [the funk brothers] from motown's shadows . it's about time .,the film awfully does rescue [the funk brothers] from motown's shadows . it's about time .,0
the most ingenious film comedy since being john malkovich .,the most malignant film comedy since being john malkovich .,0
"brutally honest and told with humor and poignancy , which makes its message resonate .","disgracefully honest and dis with humor and poignancy , which makes its message deafening .",0
"though there are many tense scenes in trapped , they prove more distressing than suspenseful .","though there are many tense scenes in trapped , they prove more harrowing than nightmarish .",0
i'm going to give it a marginal thumbs up . i liked it just enough .,i'm going to give it a marginal cm up . i rained it just enough .,0
"if borstal boy isn't especially realistic , it is an engaging nostalgia piece .","if borstal boy isn't especially realistic , it is an hiring lust piece .",0
[an] absorbing documentary .,[an] buy documentary .,0
there's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us .,there's something upsetting about an composers of 90-plus aging shoulder the initiative to exchange his insights of iife and depletion and deadlines and kind with us .,0
"like a bad improvisation exercise , the superficially written characters ramble on tediously about their lives , loves and the art they're struggling to create .","amore a wicked improvisation calisthenics , the superficially handwriting hallmark ramble on tediously about their lives , loves and the art they're struggling to create .",0
what's so striking about jolie's performance is that she never lets her character become a caricature -- not even with that radioactive hair .,what's so whopping about jolie's performance is that she never lets her character become a caricature -- not even with that radioactive hair .,0
. . . a fairly disposable yet still entertaining b picture .,. . . a fairly disposable yet still fooling b picture .,0
a quirky comedy set in newfoundland that cleverly captures the dry wit that's so prevalent on the rock .,a whacky entertaining ensemble in newfoundland that clumsily captures the dehydrated spirit that's instead prevalent on the rock .,0
"gangster no . 1 is solid , satisfying fare for adults .","hoodlum no . 1 is solid , fecund taxes for adults .",0
"pratfalls aside , barbershop gets its greatest play from the timeless spectacle of people really talking to each other .","pratfalls aside , barbershop gets its worst play from the timeless spectacle of people really talking to each other .",0
the action quickly sinks into by-the-numbers territory .,the action quickly wells into by-the-numbers countries .,0
bears is even worse than i imagined a movie ever could be .,bears is even grandest than i imagined a movie ever could be .,0
"despite an overwrought ending , the film works as well as it does because of the performances .","while an frazzled concluding , the film works as well as it wants than of the spectacle .",0
". . . a sweetly affecting story about four sisters who are coping , in one way or another , with life's endgame .",". . . a awkwardly affecting story about three fraternal who are adapting , in one lane or another , with life's endgame .",0
predictably melodramatic .,predictably suspenseful .,0
a real snooze .,a real snuggle .,0
"this is sandler running on empty , repeating what he's already done way too often .","this is eisenberg operating on empty , reconfirm what he's already realized estrada too steadily .",0
"attal pushes too hard to make this a comedy or serious drama . he seems to want both , but succeeds in making neither .","attal grew too tough to put this a comedy or serious drama . he listens to want both , but succeeds in framing neither .",0
poignant if familiar story of a young person suspended between two cultures .,nagging if familiar story of a young person suspended between two cultures .,0
"a film really has to be exceptional to justify a three hour running time , and this isn't .","a film effectively enjoy to coming exceptional to justifies a three hour operated time , and this isn't .",0
"a big-budget/all-star movie as unblinkingly pure as the hours is a distinct rarity , and an event .","a big-budget/all-star movie as unblinkingly pure as the hours is a distinct rarity , and an accident .",0
"not exaggerated enough to be a parody of gross-out flicks , college flicks , or even flicks in general . it merely indulges in the worst elements of all of them .","not exaggerated enough to be a parody of gross-out flicks , college flicks , or even flicks in general . it merely indulges in the finest facet of all of them .",0
"if hill isn't quite his generation's don siegel ( or robert aldrich ) , it's because there's no discernible feeling beneath the chest hair ; it's all bluster and cliché .","if mountains isn't utterly his generation's don mintz ( or robert aldrich ) , it's than there's no overt foreboding beneath the chest pubes ; it's all blather and antithesis .",0
a tour de force of modern cinema .,a ballad of forces of moderne playhouse .,0
"surprisingly , the film is a hilarious adventure and i shamelessly enjoyed it .","surprisingly , the film is a hilarious adventure and i clumsily rained it .",0
a remarkable film by bernard rose .,a unpaid film by bernard rose .,0
this submarine drama earns the right to be favorably compared to das boot .,this submarine drama earns the right to be negatively compared to das boot .,0
"i'm not a fan of the phrase 'life affirming' because it usually means 'schmaltzy , ' but real women have curves truly is life affirming .","i'm not a fan of the phrase 'life affirming' because it usually means 'schmaltzy , ' but real women have curves awfully is life affirming .",0
"ludicrous , but director carl franklin adds enough flourishes and freak-outs to make it entertaining .","ludicrous , but director carl franklin adds enough flourishes and freak-outs to make it distracting .",0
nearly all the fundamentals you take for granted in most films are mishandled here .,nearly all the fundamentals you take for granted in most films are deflected here .,0
"wouldn't it be funny if a bunch of allied soldiers went undercover as women in a german factory during world war ii ? um , no . but here's a movie about it anyway .","wouldn't it are outlandish if a bands of allied guerrillas gone undercover as femme in a german manufacture during world struggles ii ? um , no . but here's a filmmakers about it anyway .",0
a genuine mind-bender .,a velma mind-bender .,0
an unsophisticated sci-fi drama that takes itself all too seriously .,an impressionable sci-fi drama that takes itself all too attentively .,0
a thriller without a lot of thrills .,a engrossing without a plots of sentimental .,0
master of disguise runs for only 71 minutes and feels like three hours .,sir of guise execute for only 71 minute and realizes like four hora .,0
swiftly deteriorates into a terribly obvious melodrama and rough-hewn vanity project for lead actress andie macdowell .,swiftly intensifies into a terrifically obvious melodrama and rough-hewn vanity project for guided actress andie macdowell .,0
smarter than its commercials make it seem .,malignant than its commercials make it seem .,0
